"URL","Image URL","ASIN","Title","Brand","Fulfillment","Category","BSR","UPC","GTIN","EAN","ISBN","Subcategory","Subcategory BSR","Price","Price Trend (90 days) (%)","Parent Level Sales","ASIN Sales","Sales Trend (90 days) (%)","Parent Level Revenue","ASIN Revenue","Review Count","Reviews Rating","Seller","Seller Country/Region","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Length","Width","Height","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B0D7HS5BWL","https://m.media-amazon.com/images/I/71DFd403-UL._SX450_.jpg","B0D7HS5BWL","OnBeam Sewer Camera 100ft, Drain Camera with DVR Recorder, 4.3"" Plumbing Cameras Snake with 8 Adjustable LED Lights, Waterproof IP68 & 16GB, Industrial Endoscope for Duct Sewer Line Pipe Inspection","OnBeam","FBA","Industrial & Scientific",380984,762736106820,"N/A",0762736106820,"N/A","Borescopes",716,379.99,37,3,3,450,1224.94,1224.8,2,5,"weigangus","China",1,0,"N/A","Large bulky",7.48,15.59,15.67,9.44,920.01,2537.96,"03/31/2025",17,7,0,3.36
"https://amazon.com/dp/B07VXJMNBJ","https://m.media-amazon.com/images/I/618WePEJOkL._SX450_.jpg","B07VXJMNBJ","USB Endosecope, 3 in 1 Endoscope 5.5mm Lens Borescope Inspection Camera with 6 Adjustable LED 5M Cable Scope Camera IP67 for Android/XP/W7/W8/VISTA/W10","Zerone","FBA","Industrial & Scientific",381035,781593845277,"N/A",0781593845277,"N/A","Borescopes",717,14.11,9,2,2,-97,32.93,32.84,58,3.6,"Deelair","USA",2,33,-8,"Large Standard-Size",1.46,4.84,4.84,0.26,17.22,47.5,"05/31/2024",76,9,0,0.04
"https://amazon.com/dp/B0FK4K2Y6W","https://m.media-amazon.com/images/I/815LBRWx+QL._SX450_.jpg","B0FK4K2Y6W","Sewer Camera with Locator, 10""HD Industrial Borescope Drain Camera with Self Leveling, IP68 Endoscope Pipe Inspection Cameras with Keypad, 7MM Cable 250Ft/75M(Length), Distance Counter, DVR, 32GB","SumKea","FBM","Industrial & Scientific",385866,774882256717,"N/A",0774882256717,"N/A","Borescopes",761,1499.99,-9,14,4,,14075.43,5339.71,2,5,"RUO RONG KE JI","China",1,0,"N/A","Extra-large 70+ to 150 lb",24.4,21.98,19.69,54.89,"N/A","N/A","09/30/2025",4,8,4,6.81
"https://amazon.com/dp/B09P4WNYBB","https://m.media-amazon.com/images/I/71pWu+F1IlL._SX450_.jpg","B09P4WNYBB","16.5FT Triple Lens Probe, 7.9mm/0.3inch Diameter Semi-Rigid Cable Compatible with MS450 Inspection Camera","Teslong","FBA","Industrial & Scientific",388618,"N/A","N/A","N/A","N/A","Borescopes",742,79.99,-4,8,8,,599.58,599.4,9,4.7,"Teslong","China",1,50,-68,"Large Standard-Size",1.85,5.59,6.54,0.44,34.04,93.9,"02/29/2024",47,6,0,0.83
"https://amazon.com/dp/B0CPDH2CWJ","https://m.media-amazon.com/images/I/71Ncby6shIL._SX450_.jpg","B0CPDH2CWJ","ESANHAO Sewer Camera 100ft Self Leveling Inspection Endoscope with Light 5"" Screen Waterproof Plumbing Camera for Plumber, Homeowners","ESANHAO","FBA","Industrial & Scientific",391107,"N/A","N/A","N/A","N/A","Borescopes",747,489.99,3,4,4,,1868.24,1868.09,28,3.4,"ESANHAO Store","China",1,0,"N/A","Large bulky",11.25,12,14,12.5,951.56,2625,"06/30/2025",23,7,4,0.14
"https://amazon.com/dp/B0D1RHPK3R","https://m.media-amazon.com/images/I/71C7qXBtwVL._SX450_.jpg","B0D1RHPK3R","Endoscope Camera with 4.3"" Screen, Triple Lens, 1080P 32GB Card, 33FT Cable, Zoom, Inspection Camera for Home","SYANSPAN","FBA","Industrial & Scientific",391833,"N/A","N/A","N/A","N/A","Borescopes",748,64.99,-3,6,1,20,257.3,55.72,34,4.5,"pipe camera","China",1,119,"N/A","Large Standard-Size",14,3,11,1.68,232.6,641.67,"11/30/2024",19,7,4,0.17
"https://amazon.com/dp/B0D1N9HZWX","https://m.media-amazon.com/images/I/71ErMmJlPjL._SX450_.jpg","B0D1N9HZWX","Endoscope Camera with Light,Triple Lens 1080P HD Borescope,16.4ft/5M Cable,2MP IP67 Waterproof Inspection Camera,2600mAh Battery,8GB Storage (M60-3lens-8GB-5M)","SYANSPAN","FBA","Industrial & Scientific",391833,"N/A","N/A","N/A","N/A","Borescopes",748,39.99,-51,6,2,20,257.3,96.82,34,4.5,"pipe camera","China",1,119,"N/A","Large Standard-Size",3.03,7.48,13.11,1.3,149.6,412.68,"11/30/2024",19,9,4,0.17
"https://amazon.com/dp/B0B2JT9WQD","https://m.media-amazon.com/images/I/81NdNQ2Q4KL._SX450_.jpg","B0B2JT9WQD","Anysun Sewer Inspection Camera - 100ft with 512Hz Transmitter, Receiver & 7"" LCD Monitor - IP68 Waterproof Pipe Camera DVR Recorder (8GB SD Card)","anysun","FBA","Industrial & Scientific",392749,774980345238,"N/A",0774980345238,"N/A","Borescopes",749,699.99,-20,9,4,180,10610.41,2825.49,24,4.1,"HZDZ_Shop","China",1,105,"N/A","Large bulky",8,17,21.25,19.75,1455.03,4013.89,"11/30/2024",44,7,4,0.36
"https://amazon.com/dp/B0CWN8HV4Q","https://m.media-amazon.com/images/I/71BjUWFhgBL._SX450_.jpg","B0CWN8HV4Q","Anysun Self-Leveling Sewer Inspection Camera with 512Hz Transmitter, Distance Counter, 7MM Thicker Cable, 330FT/100M Pipe Camera, 10"" IPS 1080P Screen and DVR/Audio Recording - 16GB","anysun","FBA","Industrial & Scientific",392750,"N/A","N/A","N/A","N/A","Borescopes",749,1729.99,4,9,1,180,10610.41,1505.16,24,4.1,"HZDZ_Shop","China",1,105,"N/A","Large bulky",11.7,22.1,25.9,41,3371.73,9301.34,"11/30/2024",22,7,4,0.36
"https://amazon.com/dp/B0CYL6LHWC","https://m.media-amazon.com/images/I/51gg85psmJL._SX450_.jpg","B0CYL6LHWC","ANYSUN Sewer Camera's Accessories Camera (Buil-t-in 512hz Sonde and Self-Leveling Function)","anysun","FBM","Industrial & Scientific",393334,774049583311,"N/A",0774049583311,"N/A","Borescopes",752,359.99,-11,2,2,-80,667.11,667.04,"N/A","N/A","ToBestGift","China",1,0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","01/31/2025",20,4,0,"N/A"
