"URL","Image URL","ASIN","Title","Brand","Fulfillment","Category","BSR","UPC","GTIN","EAN","ISBN","Subcategory","Subcategory BSR","Price","Price Trend (90 days) (%)","Parent Level Sales","ASIN Sales","Sales Trend (90 days) (%)","Parent Level Revenue","ASIN Revenue","Review Count","Reviews Rating","Seller","Seller Country/Region","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Length","Width","Height","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B0BF64PP4F","https://m.media-amazon.com/images/I/61d7f746GFL._SX450_.jpg","B0BF64PP4F","Endoscope Camera with Light,1920P HD Borescope Tools with 8 Adjustable LED Lights, Endoscope with Semi-Rigid Snake Camera, IP67 Waterproof Inspection Borescope for iOS and Android-32.8ft Single Lens","Kinpthy","FBA","Industrial & Scientific",224,635416049994,"N/A",0635416049994,"N/A","Borescopes",1,40.99,6,8882,915,,311434.1,33366.73,5287,4.4,"XXXIX Endoscope","China",4,0,"N/A","Large Standard-Size",2.13,5.55,5.59,0.77,33.27,91.78,"09/30/2025",38,7,6,1.68
"https://amazon.com/dp/B0FJ2CFSHR","https://m.media-amazon.com/images/I/61GAxloIEAL._SX450_.jpg","B0FJ2CFSHR","Endoscope Camera with Light,1920P HD Borescope Tools with 8 Adjustable LED Lights, Endoscope with Semi-Rigid Snake Camera, Inspection Borescope for iOS and Android-16.4ft Single Lens(Yellow)","Kinpthy","FBA","Industrial & Scientific",224,607605131421,"N/A",0607605131421,"N/A","Borescopes",1,25.99,98,8882,517,,311434.1,17968.77,5288,4.4,"ClairvoyancePro","China",1,0,"N/A","Large Standard-Size",1.46,4.65,4.84,0.42,16.54,45.64,"09/30/2025",4,7,6,1.68
"https://amazon.com/dp/B0C9JR3N4W","https://m.media-amazon.com/images/I/61r3hsmOb8L._SX450_.jpg","B0C9JR3N4W","Endoscope Camera with Light,1920P HD Borescope Tools with 8 Adjustable LED Lights, Endoscope with Semi-Rigid Snake Camera, IP67 Waterproof Inspection Borescope for iOS and Android-16.4ft Dual-Lens","Kinpthy","FBA","Industrial & Scientific",224,768502895158,"N/A",0768502895158,"N/A","Borescopes",1,42.99,42,8882,4708,,311434.1,180193.2,5288,4.4,"Kinoscope","China",4,0,"N/A","Large Standard-Size",1.54,4.8,7.13,0.37,26.54,73.2,"09/30/2025",29,7,6,1.68
"https://amazon.com/dp/B0FJ29BJZ7","https://m.media-amazon.com/images/I/61vgEx1s0RL._SX450_.jpg","B0FJ29BJZ7","Endoscope Camera with Light,1920P HD Borescope Tools with 8 Adjustable LED Lights, Endoscope with Semi-Rigid Snake Camera, Inspection Borescope for iOS and Android-16.4ft Single Lens(Blue)","Kinpthy","FBA","Industrial & Scientific",224,607605131414,"N/A",0607605131414,"N/A","Borescopes",1,25.99,67,8882,515,,311434.1,17879.27,5288,4.4,"ClairvoyancePro","China",1,0,"N/A","Large Standard-Size",1.46,4.69,4.8,0.44,16.55,45.65,"09/30/2025",4,7,6,1.68
"https://amazon.com/dp/B0C4V5LWWL","https://m.media-amazon.com/images/I/41Sek3hHeDL._SX450_.jpg","B0C4V5LWWL","Endoscope Camera with Light,1920P HD Borescope Tools with 8 Adjustable LED Lights, Endoscope with Semi-Rigid Snake Camera, Inspection Borescope for iOS and Android-16.4ft Single Lens","Kinpthy","FBA","Industrial & Scientific",224,673132973261,"N/A",0673132973261,"N/A","Borescopes",1,23.99,-21,9048,2273,,318354.9,62751.69,5278,4.4,"Kinoscope","China",6,0,"N/A","Large Standard-Size",1.5,4.76,4.88,0.4,17.54,48.39,"09/30/2025",30,7,6,1.71
"https://amazon.com/dp/B0CJY5C9QX","https://m.media-amazon.com/images/I/71nJMZLD3pL._SX450_.jpg","B0CJY5C9QX","Teslong Two-Way Articulating Borescope with Light, Industrial Endoscope Inspection Camera with Articulated Probe, Flexible Mechanic Fiber Optic Snake Scope Cam for Wall Automotive Engine Inspect-5FT","Teslong","FBA","Industrial & Scientific",645,"N/A","N/A","N/A","N/A","Borescopes",2,129.99,-11,5378,5378,7,699032.98,699032.88,1078,4.7,"Teslong","China",1,40365,289,"Large Standard-Size",3.43,8.66,16.73,3.15,249.92,689.44,"07/31/2025",24,9,0,4.99
"https://amazon.com/dp/B0DGFC3D9H","https://m.media-amazon.com/images/I/41QmdCl70mL._SX450_.jpg","B0DGFC3D9H","Acoath Endoscope Camera with Light, Dual-Lens 1920P HD Borescope with 8 Adjustable LED Lights, IP67 Waterproof Boroscope Inspection Tools, 33ft Semi-Rigid Snake Camera for iOS & Android","Acoath","FBA","Industrial & Scientific",908,"N/A","N/A","N/A","N/A","Borescopes",3,39.99,"N/A",3275,581,28,92899.29,19298.9,1132,4.4,"AcoathDirect","Hong Kong",1,35166,"N/A","Large Standard-Size",2.4,5.12,5.47,0.79,33.87,93.42,"07/31/2025",14,15,3,2.89
"https://amazon.com/dp/B0DGFBJYG2","https://m.media-amazon.com/images/I/616fQZ2qjdL._SX450_.jpg","B0DGFBJYG2","Acoath Endoscope Camera with Light, Dual-Lens 1920P HD Borescope with 8 Adjustable LED Lights, IP67 Waterproof Boroscope Inspection Tools, 9.8ft Semi-Rigid Snake Camera for iOS & Android","Acoath","FBA","Industrial & Scientific",908,"N/A","N/A","N/A","N/A","Borescopes",3,29.99,-11,3275,646,28,92899.29,16586.2,1119,4.4,"AcoathDirect","Hong Kong",1,35166,"N/A","Large Standard-Size",1.5,5.67,6.61,0.35,28.24,77.92,"07/31/2025",14,15,3,2.93
"https://amazon.com/dp/B0DGFBCH38","https://m.media-amazon.com/images/I/61Xx4RLJ16L._SX450_.jpg","B0DGFBCH38","Acoath Endoscope Camera with Light, Dual-Lens 1920P HD Borescope with 8 Adjustable LED Lights, IP67 Waterproof Boroscope Inspection Tools, 16.4ft Semi-Rigid Snake Camera for iOS & Android","Acoath","FBA","Industrial & Scientific",908,"N/A","N/A","N/A","N/A","Borescopes",3,35.99,22,3275,2048,28,92899.29,56990.09,1132,4.4,"AcoathDirect","Hong Kong",1,35166,"N/A","Large Standard-Size",1.46,5.31,5.55,0.49,21.64,59.69,"07/31/2025",14,15,3,2.89
"https://amazon.com/dp/B0FC2HS5GZ","https://m.media-amazon.com/images/I/71PJCiq42nL._SX450_.jpg","B0FC2HS5GZ","Endoscope with Light, 1920P HD Borescope with 8 Adjustable LED Lights, 16.4FT Semi-Rigid Snake Camera, IP67 Waterproof Inspection Tool for iPhone & Android - Dual Lens","PAPIBLU","FBA","Industrial & Scientific",1341,"N/A","N/A","N/A","N/A","Borescopes",4,22.99,-11,2660,2575,,51538.05,50110.88,137,4.3,"PAPIBLU Store","China",1,0,"N/A","Large Standard-Size",1.5,5.12,5.16,0.46,19.95,55.04,"10/31/2025",4,7,2,19.41
