"URL","Image URL","ASIN","Title","Brand","Fulfillment","Category","BSR","UPC","GTIN","EAN","ISBN","Subcategory","Subcategory BSR","Price","Price Trend (90 days) (%)","Parent Level Sales","ASIN Sales","Sales Trend (90 days) (%)","Parent Level Revenue","ASIN Revenue","Review Count","Reviews Rating","Seller","Seller Country/Region","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Length","Width","Height","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B0F29969G1","https://m.media-amazon.com/images/I/71vCWHq8vZL._SX450_.jpg","B0F29969G1","TOPDON TC004 Mini Handheld Thermal Imaging Camera, 240 x 240 TISR Resolution, -4°F to 842°F, 15-Hour Battery Life, 128 x 128 IR Resolution, 25Hz Infrared Camera, High/Low Temp Alerts, Auto Shutdown","TOPDON","FBA","Industrial & Scientific",778,810139302261,"N/A",0810139302261,"N/A","Thermal Imagers",1,151.05,-16,3851,3851,,737550.58,737548.76,289,4.5,"TOPDON Authorized","China",4,0,"N/A","Large Standard-Size",3.94,6.61,10.2,1.04,133.74,368.95,"10/31/2025",8,9,4,13.33
"https://amazon.com/dp/B0DPXX7P5M","https://m.media-amazon.com/images/I/61lK0ZHDDiL._SX450_.jpg","B0DPXX7P5M","Flir One - Thermal Imaging Camera for iOS Smartphones (iPhone 15 and Newer w/USB-C), 240x180 Super Resolution (80x60 Native IR)","FLIR","FBA","Industrial & Scientific",2322,845188032623,"N/A",0845188032623,"N/A","Thermal Imagers",2,214,4,1344,658,-15,278103.06,140823.73,6570,4.1,"Northwest Selling Solutions","USA",2,0,"N/A","Large Standard-Size",2.72,4.09,5.75,0.68,32.21,88.84,"06/30/2025",9,8,3,0.2
"https://amazon.com/dp/B0728C7KND","https://m.media-amazon.com/images/I/71nNMM+5paL._SX450_.jpg","B0728C7KND","Flir One - Thermal Imaging Camera for iOS Smartphones (iPhone 14 and Older w/Lightning Port), 240x180 Super Resolution (80x60 Native IR)","FLIR","Amazon","Industrial & Scientific",2323,812462023974,00812462023974,0812462023974,"N/A","Thermal Imagers",2,179.99,-16,1344,282,-15,278103.06,53482.02,6567,4.1,"Amazon","N/A",6,0,"N/A","Large Standard-Size",2.68,4.09,5.71,0.64,"N/A","N/A","06/30/2025",99,7,3,0.2
"https://amazon.com/dp/B0728C7KNC","https://m.media-amazon.com/images/I/41OYwhvEtML._SX450_.jpg","B0728C7KNC","Flir One - Thermal Imaging Camera for Android Smartphones (USB-C), 240x180 Super Resolution (80x60 Native IR)","FLIR","Amazon","Industrial & Scientific",2323,812462024032,00812462024032,0812462024032,"N/A","Thermal Imagers",2,199,-23,1344,405,-15,278103.06,83796.35,6554,4.1,"Amazon","N/A",2,0,"N/A","Large Standard-Size",2.68,4.06,5.75,0.73,"N/A","N/A","06/30/2025",99,10,3,0.21
"https://amazon.com/dp/B0DTJW83YG","https://m.media-amazon.com/images/I/71pPV6msSsL._SX450_.jpg","B0DTJW83YG","H128 Handheld Thermal Camera, 240 x 240 TISR Resolution, 24h Battery Life Thermal Imaging Camera, 25 Hz Infrared Camera with Temperature Alarm, -4℉~ 842℉ Temp Range, IP65 Protection Level","AMPBANK","FBA","Industrial & Scientific",2500,"N/A","N/A","N/A","N/A","Thermal Imagers",3,199.99,-2,1257,1257,-1,191120.47,191114.38,250,4.5,"AMPBANK Tech","China",2,0,"N/A","Large Standard-Size",3.7,4.49,9.37,1.06,78.37,216.2,"07/31/2025",10,7,3,5.03
"https://amazon.com/dp/B0F8MZVFBJ","https://m.media-amazon.com/images/I/71i7MQZibYL._SX450_.jpg","B0F8MZVFBJ","TOPDON TC002C Duo Thermal Camera, Compatible with Any USB-C iPhone, iPad & Android Device, 512 x 384 Super Resolution, 256 x 192 IR Resolution Thermal Imager, -4°F~1022°F Temp Range","TOPDON","FBA","Industrial & Scientific",4006,810139302353,"N/A",0810139302353,"N/A","Thermal Imagers",4,236.55,-28,848,848,,262428.24,262427.92,102,4.6,"TOPDON Authorized","China",3,0,"N/A","Large Standard-Size",1.93,4.33,6.65,0.53,27.98,77.19,"10/31/2025",6,7,3,8.32
"https://amazon.com/dp/B0CXNYMG1M","https://m.media-amazon.com/images/I/512SSTfFNqL._SX450_.jpg","B0CXNYMG1M","HP96 Thermal Imaging Camera,3.5"" Touch Screen Thermal Camera with Visual Camera, 240 x 240 Super Resolution, Intelligent Scene Detection, 96 x 96 IR Resolution, 25 Hz Video Recording, -4°F to 662°F","HSFTOOLS","FBA","Industrial & Scientific",4821,"N/A","N/A","N/A","N/A","Thermal Imagers",5,239.99,4,888,888,56,205012,205009.23,440,4.5,"HSFTOOLS Direct","Vietnam",1,10061,"N/A","Large Standard-Size",2.83,4.88,7.8,1.32,54.23,149.61,"09/30/2024",20,9,0,2.02
"https://amazon.com/dp/B0F8VQ7R3R","https://m.media-amazon.com/images/I/61Cr2llqBoL._SX450_.jpg","B0F8VQ7R3R","Flagfront Thermal Camera, 240 x 240 TISR Resolution, -4°F to 1022°F Temp Range, 25Hz Infrared Camera with Temperature Alarm, 50°FOV Handheld Thermal Imaging Camera","Flagfront","FBA","Industrial & Scientific",5273,"N/A","N/A","N/A","N/A","Thermal Imagers",6,139.99,-37,905,905,958,108275.37,108269.05,45,4.2,"Top-LaserRanging","China",1,0,"N/A","Large Standard-Size",4.21,5.12,10.91,1.15,118.4,326.62,"09/30/2025",4,7,0,20.12
"https://amazon.com/dp/B07XDBYQG6","https://m.media-amazon.com/images/I/31L7OmIIKSL._SX450_.jpg","B07XDBYQG6","FLIR TG297 Thermal Imaging Camera with Bullseye Laser: Industrial Infrared Camera for High-Temp Applications","FLIR","FBA","Industrial & Scientific",5649,845188019600,00845188019600,0845188019600,"N/A","Thermal Imagers",12,862.99,-29,862,24,37,382214.14,19599.61,1408,4.3,"ST MEDIA LLC","USA",2,15788,"N/A","Large Standard-Size",4.29,9.02,11.97,1.94,233.14,643.13,"11/30/2024",74,6,6,0.61
"https://amazon.com/dp/B0F2N9K5VC","https://m.media-amazon.com/images/I/61BmgWoQvsL._SX450_.jpg","B0F2N9K5VC","FLIR TG298 Thermal Imaging Camera with High Temperature Spot IR Super Resolution 320x240 (160x120 Native IR) and Bullseye Laser: Industrial Infrared Spot Camera for High-Temp Applications","FLIR","Amazon","Industrial & Scientific",5649,845188030568,"N/A",0845188030568,"N/A","Thermal Imagers",12,899,-3,862,16,37,382214.14,14607.64,1407,4.3,"Amazon","N/A",2,15788,"N/A","Large Standard-Size",4.29,8.74,12.6,1.87,"N/A","N/A","11/30/2024",8,7,6,0.61
"https://amazon.com/dp/B07TRN55BC","https://m.media-amazon.com/images/I/61KFD4II5lL._SX450_.jpg","B07TRN55BC","FLIR TG275 Thermal Imaging Camera with Bullseye Laser: High Temp Infrared Camera for Automotive Diagnostics","FLIR","Amazon","Industrial & Scientific",5649,845188019594,"N/A",0845188019594,"N/A","Thermal Imagers",12,789,-2,862,34,37,382214.14,26669.35,1408,4.3,"Amazon","N/A",1,15788,"N/A","Large Standard-Size",4.49,6.57,11.42,1.92,"N/A","N/A","11/30/2024",77,6,6,0.61
"https://amazon.com/dp/B07XH96SK4","https://m.media-amazon.com/images/I/61XzvcblFsL._SX450_.jpg","B07XH96SK4","FLIR TG267 Thermal Imaging Camera with Bullseye Laser: Commercial Grade Infrared Camera for Building Inspection, HVAC and Electrical","FLIR","Amazon","Industrial & Scientific",5650,845188019587,00845188019587,7332558023839,"N/A","Thermal Imagers",12,369,73,862,148,37,382214.14,71965.17,1407,4.3,"Amazon","N/A",1,15788,"N/A","Large Standard-Size",4.41,8.27,12.4,1.96,"N/A","N/A","11/30/2024",74,7,6,0.61
"https://amazon.com/dp/B08D3YC5CW","https://m.media-amazon.com/images/I/61TTozR3jYL._SX450_.jpg","B08D3YC5CW","FLIR TG165-X Thermal Imaging Camera with Bullseye Laser: Commercial Grade Infrared Camera for Building Inspection, HVAC and Electrical","FLIR","Amazon","Industrial & Scientific",5650,845188019570,07332558023822,7332558023822,"N/A","Thermal Imagers",12,358.95,13,862,480,37,382214.14,170830.16,1408,4.3,"Amazon","N/A",1,15788,"N/A","Large Standard-Size",4.29,7.99,12.68,1.9,"N/A","N/A","11/30/2024",64,6,6,0.61
"https://amazon.com/dp/B0CWS4BVCX","https://m.media-amazon.com/images/I/61rkcoTIH6L._SX450_.jpg","B0CWS4BVCX","HF96 Thermal Camera with Laser Pointer, Intelligent Scene Detection, Super Resolution 240 x 240, Thermal Imaging Camera96 x 96 IR Resolution, 25 HZ Infrared Camera, -4°F~1022°F,11h Runtime","HSFTOOLS","FBA","Industrial & Scientific",5836,"N/A","N/A","N/A","N/A","Thermal Imagers",7,199.99,-42,1700,946,,355713.58,190268.93,858,4.5,"HSFTOOLS Direct","Vietnam",1,0,"N/A","Large Standard-Size",3.9,6.1,9.76,1.46,116.9,322.49,"10/31/2025",19,9,0,1.98
